Name,Hours_Studied,Previous_Sem_Percentage,Phone_Usage_Hrs,Test_Anxiety_Level,Subject_Difficulty
Ananya 139,7.0,40.0,1.0,1.0,9.0
Sai 140,3.0,40.0,3.0,10.0,3.0
Rohan 141,0.0,40.0,2.0,2.0,3.0
Rohan 142,1.0,40.0,6.0,4.0,5.0
Ananya 143,6.0,40.0,0.0,5.0,1.0
Anika 144,4.0,40.0,1.0,5.0,6.0
Reyansh 145,6.0,40.0,0.0,5.0,1.0
Meera 146,7.0,53.0,2.0,1.0,2.0
Vivaan 147,2.0,40.0,0.0,4.0,7.0
Vihaan 148,0.0,95.0,6.0,10.0,2.0
Vivaan 149,0.0,93.0,3.0,6.0,8.0
Vihaan 150,2.0,48.0,3.0,2.0,10.0
Vivaan 151,5.0,92.0,9.0,10.0,3.0
Aarav 152,0.0,49.0,8.0,6.0,5.0
Aadhya 153,1.0,40.0,0.0,1.0,2.0
Anika 154,0.0,40.0,10.0,8.0,1.0
Aarav 155,3.0,63.0,9.0,7.0,7.0
Aditya 156,0.0,50.0,9.0,7.0,2.0
Vihaan 157,6.0,40.0,6.0,6.0,7.0
Reyansh 158,0.0,40.0,0.0,8.0,4.0
Navya 159,0.0,40.0,0.0,10.0,1.0
Rohan 160,0.0,77.0,9.0,8.0,10.0
Myra 161,0.0,93.0,10.0,1.0,1.0
Diya 162,4.0,95.0,0.0,1.0,9.0
Anika 163,5.0,75.0,0.0,4.0,1.0
Vihaan 164,3.0,56.0,0.0,8.0,7.0
Ananya 165,0.0,95.0,6.0,3.0,10.0
Aadhya 166,0.0,95.0,10.0,10.0,1.0
Saanvi 167,1.0,92.0,8.0,7.0,10.0
Vihaan 168,0.0,67.0,10.0,3.0,7.0
Krishna 169,3.0,40.0,10.0,1.0,7.0
Vihaan 170,4.0,60.0,2.0,8.0,6.0
Rohan 171,5.0,67.0,9.0,2.0,6.0
Ira 172,2.0,67.0,8.0,7.0,9.0
Rohan 173,5.0,40.0,10.0,1.0,10.0
Navya 174,6.0,40.0,0.0,9.0,1.0
Ira 175,0.0,40.0,0.0,1.0,9.0
Rohan 176,4.0,83.0,10.0,10.0,6.0
Ishaan 177,6.0,55.0,0.0,5.0,8.0
Diya 178,3.0,40.0,0.0,9.0,1.0
Krishna 179,2.0,95.0,0.0,1.0,9.0
Myra 180,0.0,40.0,5.0,8.0,5.0
Rohan 181,4.0,40.0,10.0,1.0,9.0
Diya 182,4.0,40.0,4.0,7.0,1.0
Meera 183,0.0,40.0,3.0,1.0,1.0
Navya 184,7.0,40.0,6.0,1.0,8.0
Reyansh 185,4.0,95.0,0.0,10.0,10.0
Aarav 186,1.0,95.0,5.0,6.0,3.0
Meera 187,2.0,40.0,0.0,8.0,3.0
Ananya 188,2.0,45.0,1.0,4.0,6.0
Rohan 189,1.0,88.0,10.0,4.0,5.0
Aadhya 190,1.0,95.0,3.0,5.0,6.0
Sai 191,1.0,92.0,10.0,9.0,4.0
Saanvi 192,2.0,40.0,0.0,5.0,4.0
Sai 193,5.0,40.0,10.0,5.0,1.0
Aarav 194,2.0,95.0,10.0,9.0,4.0
Vihaan 195,7.0,40.0,1.0,10.0,3.0
Vivaan 196,0.0,53.0,9.0,4.0,10.0
Ishaan 197,6.0,43.0,10.0,2.0,1.0
Vihaan 198,5.0,55.0,4.0,9.0,4.0
Anika 199,0.0,40.0,6.0,7.0,6.0
Diya 200,6.0,68.0,0.0,4.0,7.0
Anika 201,0.0,51.0,10.0,2.0,1.0
Vihaan 202,7.0,58.41530612244898,10.0,10.0,1.0
Aarohi 203,7.0,41.0,0.0,1.0,5.0
Diya 204,0.0,40.0,3.0,2.0,9.0
Aarohi 205,5.0,56.0,0.0,1.0,6.0
Saanvi 206,1.0,74.0,10.0,1.0,1.0
Aarohi 207,5.0,82.0,3.0,3.0,3.0
Aarav 208,7.0,77.0,10.0,1.0,1.0
Rohan 209,2.0,40.0,1.0,4.0,5.0
Ishaan 210,0.0,89.0,5.0,1.0,6.0
Anika 211,0.0,40.0,0.0,4.0,1.0
Aarohi 212,0.0,75.0,10.0,9.0,5.0
Aarohi 213,3.0,81.0,10.0,8.0,5.0
Myra 214,3.0,95.0,5.0,7.0,9.0
Arjun 215,5.0,74.0,10.0,1.0,1.0
Vihaan 216,7.0,64.0,3.0,4.0,4.0
Vihaan 217,7.0,66.0,10.0,7.0,1.0
Aadhya 218,3.0,40.0,10.0,9.0,6.0
Aditya 219,1.0,76.0,0.0,2.0,4.0
Rohan 220,1.0,83.0,7.0,9.0,10.0
Sai 221,2.0,40.0,6.0,10.0,1.0
Ishaan 222,6.0,40.0,10.0,1.0,4.0
Navya 223,4.0,53.0,4.0,10.0,5.0
Vihaan 224,6.0,40.0,10.0,2.0,3.0
Vivaan 225,0.0,95.0,6.0,1.0,1.0
Ira 226,6.0,95.0,10.0,1.0,2.0
Vivaan 227,2.0,40.0,10.0,8.0,2.0
Meera 228,0.0,41.0,3.0,7.0,4.0
Vivaan 229,6.0,40.0,1.0,8.0,8.0
Rohan 230,2.0,40.0,5.0,3.0,1.0
Sai 231,4.0,40.0,10.0,9.0,9.0
Ira 232,6.0,65.0,6.0,4.0,2.0
Krishna 233,2.0,40.0,0.0,1.0,8.0
Aarav 234,1.0,40.0,10.0,3.0,10.0
Myra 235,7.0,40.0,8.0,9.0,2.0
Diya 236,1.0,79.0,0.0,6.0,8.0
Aarohi 237,7.0,80.0,6.0,4.0,5.0
Ira 238,0.0,40.0,10.0,2.0,7.0
Ira 239,0.0,40.0,6.0,1.0,2.0
Aadhya 240,0.0,73.0,1.0,7.0,5.0
Aditya 241,4.0,40.0,1.0,10.0,10.0
Arjun 242,1.0,40.0,5.0,10.0,1.0
Vihaan 243,3.0,42.0,6.0,1.0,8.0
Aadhya 244,2.0,66.0,6.0,1.0,10.0
Aadhya 245,0.0,58.41530612244898,10.0,10.0,1.0
Ira 246,2.0,81.0,6.0,2.0,6.0
Anika 247,0.0,87.0,10.0,5.0,6.0
Navya 248,3.0,76.0,10.0,1.0,9.0
Aadhya 249,2.0,89.0,10.0,7.0,10.0
Aarohi 250,3.0,88.0,9.0,2.0,1.0
Vihaan 251,6.0,40.0,6.0,1.0,8.0
Vivaan 252,5.0,93.0,8.0,1.0,1.0
Ishaan 253,1.0,40.0,10.0,8.0,6.0
Ira 254,0.0,53.0,2.0,2.0,1.0
Reyansh 255,0.0,95.0,10.0,7.0,10.0
Aadhya 256,1.0,95.0,2.0,10.0,6.0
Myra 257,4.0,40.0,0.0,8.0,6.0
Rohan 258,5.0,40.0,9.0,4.0,1.0
Diya 259,4.0,40.0,0.0,4.0,2.0
Anika 260,4.0,40.0,6.0,1.0,4.0
Rohan 261,4.0,93.0,6.0,8.0,10.0
Ananya 262,1.0,95.0,1.0,1.0,9.0
Aadhya 263,4.0,54.0,0.0,9.0,7.0
Anika 264,6.0,40.0,10.0,4.0,6.0
Vivaan 265,0.0,92.0,0.0,1.0,10.0
Aarohi 266,3.0,40.0,0.0,1.0,6.0
Navya 267,0.0,40.0,5.0,2.0,5.0
Aarohi 268,0.0,40.0,10.0,9.0,10.0
Vivaan 269,3.0,40.0,10.0,3.0,7.0
Krishna 270,1.0,84.0,5.0,7.0,1.0
Arjun 271,2.0,49.0,9.0,10.0,1.0
Rohan 272,1.0,81.0,9.0,5.0,8.0
Saanvi 273,0.0,95.0,10.0,10.0,6.0
Aditya 274,0.0,40.0,10.0,9.0,4.0
Diya 275,3.0,40.0,10.0,7.0,8.0
Ishaan 276,4.0,40.0,6.0,9.0,7.0
Aarohi 277,1.0,87.0,5.0,8.0,8.0
Navya 278,7.0,80.0,3.0,1.0,2.0
Krishna 279,3.0,40.0,1.0,6.0,6.0
Ira 280,6.0,40.0,4.0,10.0,8.0
Sai 281,0.0,76.0,1.0,1.0,1.0
Saanvi 282,3.0,40.0,9.0,9.0,1.0
Sai 283,1.0,40.0,10.0,7.0,6.0
Ishaan 284,0.0,95.0,0.0,7.0,3.0
Navya 285,2.0,40.0,9.0,8.0,1.0
Aarohi 286,3.0,95.0,0.0,1.0,8.0
Aarohi 287,5.0,60.0,0.0,2.0,9.0
Meera 288,0.0,49.0,6.0,10.0,1.0
Navya 289,1.0,93.0,0.0,6.0,1.0
Meera 290,0.0,58.41530612244898,5.0,5.0,10.0
Saanvi 291,7.0,40.0,3.0,1.0,7.0
Vihaan 292,4.0,40.0,3.0,3.0,3.0
Rohan 293,1.0,40.0,10.0,5.0,10.0
Vihaan 294,6.0,40.0,9.0,2.0,8.0
Myra 295,6.0,40.0,3.0,1.0,1.0
Sai 296,0.0,40.0,5.0,7.0,5.0
Saanvi 297,4.0,90.0,7.0,3.0,1.0
Aarohi 298,5.0,93.0,0.0,9.0,2.0
Myra 299,0.0,40.0,10.0,1.0,10.0
Diya 300,0.0,40.0,10.0,6.0,5.0
Aditya 301,0.0,40.0,0.0,9.0,2.0
Aditya 302,6.0,56.0,5.0,10.0,5.0
Myra 303,0.0,87.0,10.0,1.0,5.0
Krishna 304,7.0,56.0,0.0,1.0,5.0
Arjun 305,4.0,95.0,10.0,8.0,4.0
Rohan 306,5.0,51.0,10.0,1.0,7.0
Rohan 307,5.0,40.0,10.0,9.0,1.0
Ira 308,1.0,50.0,10.0,1.0,1.0
Aarohi 309,0.0,95.0,3.0,5.0,8.0
Aarohi 310,7.0,40.0,10.0,8.0,3.0
Diya 311,6.0,40.0,10.0,1.0,7.0
Vihaan 312,5.0,40.0,10.0,5.0,2.0
Vivaan 313,7.0,95.0,5.0,1.0,1.0
Vihaan 314,2.0,78.0,8.0,2.0,2.0
Aarav 315,2.0,40.0,0.0,9.0,4.0
Anika 316,0.0,58.41530612244898,4.0,10.0,3.0
Vihaan 317,6.0,88.0,10.0,6.0,10.0
Anika 318,1.0,43.0,7.0,1.0,1.0
Reyansh 319,5.0,40.0,8.0,8.0,2.0
Aarohi 320,0.0,40.0,6.0,4.0,4.0
Myra 321,3.0,40.0,6.0,1.0,10.0
Myra 322,5.0,40.0,2.0,5.0,8.0
Diya 323,4.0,62.0,10.0,6.0,8.0
Navya 324,1.0,40.0,6.0,9.0,2.0
Saanvi 325,7.0,56.0,10.0,6.0,7.0
Arjun 326,4.0,58.41530612244898,4.0,1.0,3.0
Meera 327,4.0,58.41530612244898,6.0,8.0,6.0
Aditya 328,0.0,42.0,4.0,1.0,7.0
Aarav 329,2.0,59.0,10.0,7.0,8.0
Vihaan 330,4.0,47.0,8.0,10.0,3.0
Meera 331,4.0,95.0,10.0,4.0,4.0
Diya 332,3.0,73.0,8.0,9.0,1.0
Anika 333,0.0,67.0,10.0,7.0,9.0
Myra 334,6.0,40.0,10.0,5.0,10.0
Meera 335,3.0,43.0,10.0,1.0,5.0
Aarav 336,3.0,82.0,0.0,10.0,2.0
Vivaan 337,5.0,62.0,5.0,10.0,5.0
Ishaan 338,2.0,40.0,9.0,1.0,1.0
Krishna 339,4.0,53.0,9.0,4.0,3.0
Anika 340,2.0,40.0,5.0,3.0,10.0
Aadhya 341,1.0,55.0,5.0,7.0,1.0
Vivaan 342,5.0,95.0,10.0,1.0,4.0
Diya 343,6.0,40.0,9.0,5.0,6.0
Krishna 344,2.0,64.0,10.0,9.0,5.0
Vivaan 345,0.0,40.0,0.0,3.0,1.0
Saanvi 346,1.0,50.0,10.0,1.0,6.0
Sai 347,0.0,57.0,4.0,10.0,1.0
Vihaan 348,6.0,40.0,2.0,8.0,8.0
Vihaan 349,1.0,82.0,5.0,9.0,7.0
Ira 350,5.0,40.0,10.0,9.0,2.0
Myra 351,3.0,56.0,10.0,10.0,1.0
Ishaan 352,3.0,71.0,10.0,4.0,6.0
Krishna 353,5.0,92.0,10.0,8.0,5.0
Navya 354,7.0,40.0,10.0,6.0,9.0
Meera 355,3.0,65.0,0.0,2.0,10.0
Ira 356,0.0,46.0,1.0,1.0,3.0
Diya 357,0.0,40.0,0.0,10.0,8.0
Krishna 358,0.0,53.0,1.0,9.0,10.0
Reyansh 359,4.0,66.0,2.0,3.0,3.0
Vihaan 360,7.0,40.0,10.0,10.0,5.0
Anika 361,6.0,58.41530612244898,5.0,1.0,3.0
Aadhya 362,3.0,57.0,10.0,1.0,6.0
Myra 363,0.0,48.0,0.0,4.0,9.0
Meera 364,5.0,95.0,9.0,9.0,10.0
Rohan 365,3.0,95.0,10.0,8.0,4.0
Rohan 366,4.0,68.0,6.0,7.0,10.0
Arjun 367,5.0,95.0,4.0,10.0,3.0
Meera 368,1.0,92.0,0.0,2.0,7.0
Vihaan 369,1.0,51.0,6.0,4.0,9.0
Sai 370,3.0,84.0,7.0,5.0,1.0
Reyansh 371,4.0,40.0,0.0,10.0,5.0
Krishna 372,7.0,40.0,8.0,9.0,6.0
Ira 373,3.0,40.0,10.0,4.0,10.0
Anika 374,0.0,40.0,7.0,6.0,1.0
Navya 375,2.0,40.0,10.0,2.0,9.0
Sai 376,3.0,48.0,6.0,10.0,10.0
Myra 377,3.0,41.0,4.0,1.0,10.0
Reyansh 378,5.0,81.0,0.0,5.0,10.0
Aarohi 379,2.0,43.0,3.0,1.0,5.0
Vivaan 380,0.0,40.0,0.0,4.0,8.0
Anika 381,3.0,93.0,3.0,1.0,10.0
Aadhya 382,5.0,40.0,0.0,7.0,9.0
Aarav 383,4.0,58.41530612244898,10.0,1.0,6.0
Sai 384,3.0,95.0,5.0,4.0,10.0
Vihaan 385,2.0,40.0,0.0,4.0,10.0
Saanvi 386,0.0,44.0,10.0,3.0,4.0
Krishna 387,2.0,76.0,6.0,10.0,10.0
Aadhya 388,1.0,56.0,9.0,3.0,8.0
Navya 389,0.0,40.0,0.0,1.0,7.0
Navya 390,6.0,82.0,8.0,8.0,5.0
Aditya 391,3.0,40.0,0.0,10.0,8.0
Krishna 392,2.0,40.0,10.0,3.0,3.0
Vihaan 393,6.0,93.0,10.0,1.0,6.0
Vihaan 394,5.0,95.0,2.0,5.0,1.0
Arjun 395,0.0,40.0,10.0,1.0,5.0
Arjun 396,0.0,83.0,3.0,10.0,2.0
Rohan 397,2.0,67.0,8.0,2.0,7.0
Saanvi 398,6.0,62.0,1.0,1.0,10.0
Myra 399,0.0,40.0,0.0,1.0,1.0
Meera 400,1.0,95.0,10.0,2.0,5.0
Aarav 401,0.0,92.0,6.0,3.0,4.0
Arjun 402,0.0,40.0,3.0,1.0,6.0
Reyansh 403,1.0,95.0,9.0,2.0,3.0
Aadhya 404,3.0,50.0,0.0,10.0,1.0
Anika 405,1.0,61.0,0.0,10.0,1.0
Myra 406,0.0,86.0,0.0,9.0,7.0
Anika 407,0.0,40.0,9.0,6.0,8.0
Reyansh 408,6.0,40.0,10.0,8.0,4.0
Reyansh 409,0.0,61.0,6.0,5.0,8.0
Saanvi 410,1.0,40.0,5.0,7.0,3.0
Vivaan 411,0.0,92.0,8.0,3.0,1.0
Ira 412,1.0,70.0,10.0,10.0,4.0
Navya 413,5.0,40.0,1.0,8.0,4.0
Ishaan 414,0.0,40.0,0.0,2.0,1.0
Myra 415,6.0,73.0,4.0,6.0,10.0
Aditya 416,0.0,40.0,0.0,7.0,6.0
Anika 417,1.0,40.0,2.0,10.0,1.0
Aditya 418,7.0,40.0,4.0,5.0,1.0
Rohan 419,5.0,40.0,1.0,5.0,4.0
Arjun 420,2.0,53.0,2.0,3.0,8.0
Rohan 421,3.0,92.0,0.0,2.0,10.0
Rohan 422,0.0,82.0,0.0,8.0,5.0
Arjun 423,6.0,73.0,10.0,1.0,4.0
Ishaan 424,2.0,40.0,7.0,5.0,1.0
Vivaan 425,7.0,66.0,0.0,8.0,10.0
Aarav 426,3.0,40.0,8.0,5.0,4.0
Vihaan 427,7.0,42.0,10.0,1.0,1.0
Meera 428,2.0,84.0,8.0,1.0,6.0
Myra 429,3.0,40.0,10.0,3.0,10.0
Ishaan 430,7.0,64.0,10.0,10.0,4.0
Aarav 431,6.0,40.0,3.0,7.0,10.0
Saanvi 432,1.0,54.0,2.0,4.0,9.0
Aadhya 433,0.0,42.0,5.0,1.0,10.0
Krishna 434,1.0,71.0,0.0,10.0,1.0
Ira 435,2.0,40.0,10.0,1.0,3.0
Vihaan 436,0.0,63.0,9.0,5.0,6.0
Aarohi 437,0.0,71.0,3.0,4.0,1.0
Ishaan 438,5.0,75.0,0.0,7.0,10.0
Aadhya 439,6.0,40.0,1.0,4.0,4.0
Anika 440,5.0,40.0,10.0,3.0,3.0
Reyansh 441,3.0,90.0,10.0,8.0,4.0
Ananya 442,0.0,56.0,2.0,5.0,8.0
Vivaan 443,5.0,87.0,0.0,1.0,1.0
Anika 444,5.0,52.0,8.0,10.0,5.0
Anika 445,7.0,61.0,10.0,5.0,7.0
Diya 446,3.0,50.0,1.0,1.0,1.0
Sai 447,7.0,40.0,10.0,7.0,8.0
Ira 448,0.0,92.0,8.0,4.0,3.0
Ishaan 449,0.0,58.41530612244898,7.0,7.0,8.0
Rohan 450,2.0,85.0,3.0,10.0,2.0
Vihaan 451,7.0,71.0,6.0,3.0,4.0
Anika 452,4.0,95.0,7.0,5.0,4.0
Diya 453,1.0,40.0,2.0,10.0,9.0
Rohan 454,0.0,40.0,2.0,2.0,1.0
Aditya 455,2.0,82.0,7.0,5.0,1.0
Anika 456,7.0,58.41530612244898,2.0,10.0,2.0
Aadhya 457,1.0,74.0,0.0,1.0,1.0
Anika 458,7.0,40.0,3.0,5.0,7.0
Meera 459,5.0,86.0,1.0,6.0,10.0
Ira 460,2.0,91.0,6.0,3.0,5.0
Saanvi 461,1.0,53.0,10.0,1.0,10.0
Rohan 462,3.0,53.0,10.0,3.0,5.0
Krishna 463,3.0,58.41530612244898,10.0,4.0,1.0
Aarav 464,1.0,40.0,10.0,10.0,9.0
Meera 465,7.0,40.0,10.0,1.0,10.0
Krishna 466,2.0,95.0,10.0,4.0,1.0
Aarav 467,3.0,40.0,1.0,4.0,1.0
Diya 468,2.0,83.0,2.0,1.0,1.0
Aditya 469,3.0,47.0,2.0,1.0,1.0
Navya 470,5.0,40.0,6.0,9.0,2.0
Vivaan 471,7.0,94.0,10.0,8.0,2.0
Diya 472,3.0,57.0,10.0,1.0,1.0
Meera 473,3.0,40.0,0.0,8.0,8.0
Saanvi 474,5.0,40.0,10.0,8.0,10.0
Sai 475,3.0,54.0,0.0,10.0,6.0
Myra 476,1.0,40.0,7.0,1.0,6.0
Saanvi 477,5.0,40.0,0.0,2.0,10.0
Vivaan 478,0.0,95.0,10.0,1.0,10.0
Ananya 479,7.0,40.0,10.0,7.0,1.0
Rohan 480,0.0,52.0,10.0,8.0,5.0
Aarohi 481,4.0,40.0,9.0,10.0,9.0
Ananya 482,5.0,40.0,9.0,9.0,1.0
Reyansh 483,6.0,40.0,8.0,5.0,1.0
Saanvi 484,7.0,40.0,4.0,5.0,1.0
Anika 485,0.0,40.0,1.0,4.0,2.0
Aarohi 486,0.0,95.0,0.0,1.0,10.0
Meera 487,3.0,47.0,0.0,4.0,4.0
Reyansh 488,3.0,40.0,10.0,10.0,8.0
Diya 489,4.0,40.0,10.0,6.0,3.0
Ananya 490,1.0,40.0,0.0,6.0,2.0
Aarav 491,6.0,76.0,8.0,9.0,6.0
Saanvi 492,0.0,94.0,1.0,10.0,9.0
Ananya 493,4.0,40.0,10.0,7.0,10.0
Krishna 494,2.0,72.0,0.0,1.0,2.0
Aarohi 495,0.0,71.0,5.0,1.0,10.0
Vihaan 496,5.0,87.0,2.0,1.0,8.0
Aditya 497,7.0,40.0,4.0,1.0,10.0
Ishaan 498,2.0,40.0,5.0,8.0,10.0
Anika 499,2.0,60.0,2.0,6.0,1.0
Ananya 500,4.0,90.0,10.0,8.0,1.0
Meera 501,1.0,40.0,2.0,1.0,4.0
Ishaan 502,4.0,40.0,1.0,10.0,6.0
Rohan 503,5.0,40.0,0.0,1.0,6.0
Aadhya 504,1.0,95.0,8.0,1.0,9.0
Navya 505,5.0,40.0,10.0,1.0,7.0
Aditya 506,1.0,95.0,10.0,10.0,5.0
Saanvi 507,0.0,89.0,9.0,4.0,10.0
Ira 508,2.0,92.0,8.0,5.0,1.0
Ira 509,6.0,54.0,4.0,1.0,6.0
Rohan 510,7.0,58.0,2.0,10.0,5.0
Vivaan 511,5.0,82.0,10.0,10.0,6.0
